id,type,status,slug,title,date,modified,content_len,has_elementor,elementor_len,yoast_title,yoast_metadesc,yoast_canonical,yoast_noindex,yoast_focus_kw,guid
1050,case-study,publish,a-rare-occurrence-of-small-cell-carcinoma,A Rare Occurrence Of Small  Cell Carcinoma,2020-05-02 09:50:47,2020-05-02 09:50:47,9417,True,23689,,,,,,http://demo.7iquid.com/medcaline/?post_type=case-study&#038;p=1050
1060,case-study,publish,john-seriously-psychologically-customer-satisfaction,John Seriously Psychologically Customer Satisfaction,2020-05-02 09:56:56,2020-05-02 09:56:56,9469,True,23700,,,,,,http://demo.7iquid.com/medcaline/?post_type=case-study&#038;p=1060
1054,case-study,publish,overcoming-difficulties-to-come-to-love,Overcoming Difficulties To  Come to Love,2020-05-02 09:53:58,2020-05-02 09:53:58,9405,True,23687,,,,,,http://demo.7iquid.com/medcaline/?post_type=case-study&#038;p=1054
1057,case-study,publish,serious-mental-disorders-resolved-how,"Serious Mental Disorders,  Resolved How",2020-05-02 09:55:28,2020-05-02 09:55:28,9399,True,23686,,,,,,http://demo.7iquid.com/medcaline/?post_type=case-study&#038;p=1057
1047,case-study,publish,successful-percutaneous-closure-of-unusually,Successful Percutaneous  Closure Of Unusually,2020-05-02 09:48:34,2020-05-02 09:48:34,9430,True,23692,,,,,,http://demo.7iquid.com/medcaline/?post_type=case-study&#038;p=1047
458,case-study,publish,what-is-the-most-famous-case-study,What Is The Most Famous  Case Study,2020-04-19 08:06:32,2020-04-19 08:06:32,9380,True,23682,,,,,,http://demo.7iquid.com/medcaline/?post_type=case-study&#038;p=458
3401,elementor-hf,publish,footer-elementor,Footer Elementor,2023-11-10 15:05:50,2025-01-07 11:01:41,3963,True,7760,,,,,,https://psychologuenantes-vincentrousseau.fr/?post_type=elementor-hf&#038;p=3401
1642,elementor_library,publish,about_tab_1-using,About_Tab_1 (using),2020-05-04 12:12:02,2020-05-04 12:12:02,1422,True,4345,,,,,,http://demo.7iquid.com/medcaline/?post_type=elementor_library&#038;p=1642
1651,elementor_library,publish,about_tab_2-using,About_Tab_2 (using),2020-05-04 13:05:18,2020-05-04 13:05:18,2304,True,5404,,,,,,http://demo.7iquid.com/medcaline/?post_type=elementor_library&#038;p=1651
41,elementor_library,publish,default-kit,Default Kit,2020-04-08 17:24:55,2020-04-08 17:24:55,0,False,0,,,,,,http://demo.7iquid.com/medcaline/?elementor_library=default-kit
